cashtags,hashtags
['BTC'],['Bitcoin']
['TSLA'], 'Binance']
['SPY'],['BTC'
['ETH'],['USDT'
['QQQ'],['ES_F']
 'NVDA', 'Coinbase']
['AAPL'],['crypto']
 'MSFT',['ETH'
 'TSLA',['BUSD'
 'AMZN', 'FTX']
 'AAPL', 'Gemini']
['SPY',['BTC']
['AMZN'],['earnings']
['AAPL',['bitcoin']
 'AMD',['USDC'
['SPX'],['Russia']
 'GOOGL',['Germany']
['SOL'], 'Huobi']
 'QQQ', 'Bitfinex']
 'FB', 'financialmarkets']
['TWTR'],['Crypto']
['LUNA'],['GUSD'
 'F',['totalreturnsectorindexfutures'
 'META', 'inflation']
 'JNJ',['QQQ']
 'QQQ'], 'crypto']
 'UNH',['FF']
 'BRK.B',['cryptobanter']
 'NIO',['Germany'
 'TSM',['Bitcoin'
['DIS'],['ECB']
 'PLTR',['ECB'
 'BAC',['ETH']
 'SPY',['inflation']
 'BTC'], 'Binance'
['BTC',['btc']
['TSLA', 'Xapo']
['NVDA'],['NFT']
 'INTC', 'CryptoCom']
 'V',['darkpool']
 'ETH'], 'PlayToEarn']
 'CCL', 'Ukraine']
['AMD'], 'Huobi'
 'IWM',['TRX'
 'AAL',['Fed']
['NFLX'],['USDC']
['FB'],['China']
 'T',['USDT']
['ETH', 'comingsoon'
 'ITUB',['crypto'
